bank,year,report_type,sentence_id,original_sentence,tokenized_sentence,cleaned_sentence,word_count,char_count,original_predicted_topic,original_predicted_pillar,original_pillar_confidence,original_topic_confidence,cleaned_predicted_topic,cleaned_predicted_pillar,cleaned_pillar_confidence,cleaned_topic_confidence
vietcombank,2024,bctn,10,"Với việc phát triển tính năng mới trên VCBS Mobile App cũng như liên kết App Vietcombank Digibank và đặc biệt là ra mắt thành công tính năng E-Contract – Ký kết hợp đồng mở tài khoản điện tử, VCBS ghi nhận hơn 27.000 tài khoản mở mới thành công trong năm 2024.","Với việc phát_triển tính_năng mới trên VCBS Mobile_App cũng như liên_kết App_Vietcombank_Digibank và đặc_biệt là ra_mắt thành_công tính_năng E-Contract – Ký_kết hợp_đồng mở tài_khoản điện_tử , VCBS ghi_nhận hơn 27.000 tài_khoản mở mới thành_công trong năm 2024 .",với việc phát_triển tính_năng mới trên vcbs mobile_app cũng như liên_kết app_vietcombank_digibank và đặc_biệt là ra_mắt thành_công tính_năng e-contract ký_kết hợp_đồng mở tài_khoản điện_tử vcbs ghi_nhận hơn 27.000 tài_khoản mở mới thành_công trong năm 2024,35,256,Chính sách Công,Quản trị,0.8134517669677734,0.26323193311691284,Chính sách Công,Quản trị,0.7515410780906677,0.3023120164871216
vietcombank,2024,bctn,11,"Với sự thành công của tính năng E-Contract, VCBS được vinh danh trong hạng mục ""TOP 10 Ngân hàng, Bảo hiểm, Chứng khoán"" với sản phẩm ""Giải pháp mở tài khoản E-Contract"" trong khuôn khổ Chương trình ""Tin dùng Việt Nam 2024"" do Tạp chí Kinh tế Việt Nam – VnEconomy tổ chức.","Với sự thành_công của tính_năng E-Contract , VCBS được vinh_danh trong hạng_mục "" TOP 10 Ngân_hàng , Bảo_hiểm , Chứng_khoán "" với sản_phẩm "" Giải_pháp mở tài_khoản E-Contract "" trong khuôn_khổ Chương_trình "" Tin_dùng Việt_Nam 2024 "" do Tạp_chí Kinh_tế Việt_Nam – VnEconomy tổ_chức .",với sự thành_công của tính_năng e-contract vcbs được vinh_danh trong hạng_mục top 10 ngân_hàng bảo_hiểm chứng_khoán với sản_phẩm giải_pháp mở tài_khoản e-contract trong khuôn_khổ chương_trình tin_dùng việt_nam 2024 do tạp_chí kinh_tế việt_nam vneconomy tổ_chức,34,260,Chính sách Công,Quản trị,0.5723913908004761,0.3427127003669739,Chính sách Công,Quản trị,0.5667677521705627,0.23970414698123932
vietcombank,2024,bctn,12,"Bên cạnh mảng bán lẻ, VCBS tiếp tục củng cố vị thế và uy tín trên thị trường trong việc phát triển các công cụ tài chính xanh với thương vụ tư vấn và đại lý phát hành thành công 1.000 tỷ đồng trái phiếu xanh cho Công ty Cổ phần Đầu tư và Phát triển Đa quốc gia I.D.I vào tháng 10/2024.","Bên cạnh mảng bán_lẻ , VCBS tiếp_tục củng_cố vị_thế và uy_tín trên thị_trường trong việc phát_triển các công_cụ tài_chính xanh với thương_vụ tư_vấn và đại_lý phát_hành thành_công 1.000 tỷ đồng trái_phiếu xanh cho Công_ty Cổ_phần Đầu_tư và Phát_triển Đa quốc_gia I.D.I vào tháng 10/2024.",bên cạnh mảng bán_lẻ vcbs tiếp_tục củng_cố vị_thế và uy_tín trên thị_trường trong việc phát_triển các công_cụ tài_chính xanh với thương_vụ tư_vấn và đại_lý phát_hành thành_công 1.000 tỷ đồng trái_phiếu xanh cho công_ty cổ_phần đầu_tư và phát_triển đa quốc_gia i.d.i vào tháng 10/2024.,43,284,Tuân thủ Kinh tế Xã hội,Quản trị,0.4629388153553009,0.29642945528030396,Tiếp thị và Ghi nhãn,Xã hội,0.5260942578315735,0.28328457474708557
vietcombank,2024,bctn,13,Đây là trái phiếu xanh đầu tiên phát hành bằng đồng nội tệ tại khu vực Châu Á – Thái Bình Dương bởi một doanh nghiệp hoạt động sản xuất theo hướng bền vững trong ngành thủy hải sản.,Đây là trái_phiếu xanh đầu_tiên phát_hành bằng đồng_nội tệ tại khu_vực Châu_Á – Thái_Bình_Dương bởi một doanh_nghiệp hoạt_động sản_xuất theo hướng bền_vững trong ngành thuỷ hải_sản .,đây là trái_phiếu xanh đầu_tiên phát_hành bằng đồng_nội tệ tại khu_vực châu_á thái_bình_dương bởi một doanh_nghiệp hoạt_động sản_xuất theo hướng bền_vững trong ngành thuỷ hải_sản,25,178,Tuân thủ Kinh tế Xã hội,Quản trị,0.45969200134277344,0.24384213984012604,Thuế,Quản trị,0.41662368178367615,0.3839053809642792
vietcombank,2024,bctn,14,"Không chỉ đạt được những thành tựu vượt trội về mặt tài chính, VCBS còn vinh dự được cộng đồng và các tổ chức uy tín ghi nhận qua hàng loạt giải thưởng danh giá trong năm 2024.","Không_chỉ đạt được những thành_tựu vượt_trội về mặt tài_chính , VCBS còn vinh_dự được cộng_đồng và các tổ_chức uy_tín ghi_nhận qua hàng_loạt giải_thưởng danh_giá trong năm 2024 .",không_chỉ đạt được những thành_tựu vượt_trội về mặt tài_chính vcbs còn vinh_dự được cộng_đồng và các tổ_chức uy_tín ghi_nhận qua hàng_loạt giải_thưởng danh_giá trong năm 2024,26,174,Tuân thủ Kinh tế Xã hội,Quản trị,0.6537747383117676,0.3028131127357483,Chính sách Công,Quản trị,0.5375627875328064,0.2264777272939682
vietcombank,2024,bctn,15,"Công ty tự hào nhận bằng khen của Bộ trưởng Bộ Tài Chính ""Đã có thành tích xuất sắc, đóng góp cho sự phát triển của thị trường trái phiếu chính phủ (TPCP) trong giai đoạn 2020-2024, góp phần vào sự phát triển của kinh tế – xã hội đất nước"", tiếp tục được vinh danh là ""Thành viên tiêu biểu trong hoạt động lưu ký chứng khoán năm 2024"" bởi Tổng Công ty Lưu ký và Bù trừ Chứng khoán Việt Nam (VSDC).","Công_ty tự_hào nhận bằng khen của Bộ_trưởng Bộ Tài_Chính "" Đã có thành_tích xuất_sắc , đóng_góp cho sự phát_triển của thị_trường trái_phiếu chính_phủ ( TPCP ) trong giai_đoạn 2020-2024 , góp_phần vào sự phát_triển của kinh_tế – xã_hội đất_nước "" , tiếp_tục được vinh_danh là "" Thành_viên tiêu_biểu trong hoạt_động lưu ký chứng_khoán năm 2024 "" bởi Tổng_Công_ty Lưu ký và Bù_trừ Chứng_khoán Việt_Nam ( VSDC ) .",công_ty tự_hào nhận bằng khen của bộ_trưởng bộ tài_chính đã có thành_tích xuất_sắc đóng_góp cho sự phát_triển của thị_trường trái_phiếu chính_phủ tpcp trong giai_đoạn 2020-2024 góp_phần vào sự phát_triển của kinh_tế xã_hội đất_nước tiếp_tục được vinh_danh là thành_viên tiêu_biểu trong hoạt_động lưu ký chứng_khoán năm 2024 bởi tổng_công_ty lưu ký và bù_trừ chứng_khoán việt_nam vsdc,55,383,Chính sách Công,Quản trị,0.7595346570014954,0.3799766004085541,Tiếp thị và Ghi nhãn,Xã hội,0.7573810815811157,0.17060327529907227
vietcombank,2024,bctn,16,"Ngoài ra, tháng 12/2024, theo công bố của Hội đồng ESG (Environmental, Social and Governance – Môi trường, Xã hội và Quản trị doanh nghiệp) chủ trì bởi Hiệp hội Kinh doanh Chứng khoán Việt Nam (VASB), VCBS lọt top 3 Công ty Chứng khoán dẫn đầu về thực hành ESG trên tổng số 34 Công ty Chứng khoán tại Việt Nam.","Ngoài_ra , tháng 12/2024 , theo công_bố của Hội_đồng ESG ( Environmental , Social and Governance – Môi_trường , Xã_hội và Quản_trị doanh_nghiệp ) chủ_trì bởi Hiệp_hội Kinh_doanh Chứng_khoán Việt_Nam ( VASB ) , VCBS lọt top 3 Công_ty Chứng_khoán dẫn_đầu về thực_hành ESG trên tổng_số 34 Công_ty Chứng_khoán tại Việt_Nam .",ngoài_ra tháng 12/2024 theo công_bố của hội_đồng esg environmental social and governance môi_trường xã_hội và quản_trị doanh_nghiệp chủ_trì bởi hiệp_hội kinh_doanh chứng_khoán việt_nam vasb vcbs lọt top công_ty chứng_khoán dẫn_đầu về thực_hành esg trên tổng_số 34 công_ty chứng_khoán tại việt_nam,40,296,Tuân thủ Kinh tế Xã hội,Quản trị,0.5758898258209229,0.5476732850074768,Tuân thủ Kinh tế Xã hội,Quản trị,0.42369771003723145,0.5495705008506775
vietcombank,2024,bctn,17,"LÊ MẠNH HÙNG Kết quả là minh chứng cho cam kết của VCBS trong việc kết hợp giữa tăng trưởng kinh doanh và trách nhiệm xã hội, ESG không chỉ là một tiêu chuẩn mà còn là giá trị cốt lõi trong chiến lược phát triển dài hạn của Công ty.","LÊ_MẠNH HÙNG Kết_quả là minh_chứng cho cam_kết của VCBS trong việc kết_hợp giữa tăng_trưởng kinh_doanh và trách_nhiệm xã_hội , ESG không_chỉ là một tiêu_chuẩn mà_còn là giá_trị cốt_lõi trong chiến_lược phát_triển dài_hạn của Công_ty .",lê_mạnh hùng kết_quả là minh_chứng cho cam_kết của vcbs trong việc kết_hợp giữa tăng_trưởng kinh_doanh và trách_nhiệm xã_hội esg không_chỉ là một tiêu_chuẩn mà_còn là giá_trị cốt_lõi trong chiến_lược phát_triển dài_hạn của công_ty,33,230,Tuân thủ Kinh tế Xã hội,Quản trị,0.45067405700683594,0.5549691915512085,Tuân thủ Kinh tế Xã hội,Quản trị,0.49340376257896423,0.37642475962638855
vietcombank,2024,bctn,18,"Đạt được những kết quả khả quan đó, bên cạnh sự quản trị, điều hành của Ban lãnh đạo Ngân hàng TMCP Ngoại thương Việt Nam (Vietcombank) và Ban Lãnh đạo Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS) còn phải kể đến sự đoàn kết, nỗ lực của tập thể cán bộ nhân viên Công ty.","Đạt được những kết_quả khả_quan đó , bên cạnh sự quản_trị , điều_hành của Ban lãnh_đạo Ngân_hàng TMCP Ngoại_thương Việt_Nam ( Vietcombank ) và Ban Lãnh_đạo Công_ty TNHH Chứng_khoán Ngân_hàng TMCP Ngoại_thương Việt_Nam ( VCBS ) còn phải kể đến sự đoàn_kết , nỗ_lực của tập_thể cán_bộ nhân_viên Công_ty .",đạt được những kết_quả khả_quan đó bên cạnh sự quản_trị điều_hành của ban lãnh_đạo ngân_hàng tmcp ngoại_thương việt_nam vietcombank và ban lãnh_đạo công_ty tnhh chứng_khoán ngân_hàng tmcp ngoại_thương việt_nam vcbs còn phải kể đến sự đoàn_kết nỗ_lực của tập_thể cán_bộ nhân_viên công_ty,42,286,Chính sách Công,Quản trị,0.9607742428779602,0.23344020545482635,Chính sách Công,Quản trị,0.9635563492774963,0.26219916343688965
vietcombank,2024,bctn,19,"Bước sang năm 2025, mặc dù nền kinh tế được dự báo tiếp tục diễn biến phức tạp, khó lường, thị trường Chứng khoán (TTCK) Việt Nam vẫn được kỳ vọng sẽ tăng trưởng mạnh mẽ với những cơ hội từ việc nâng hạng thị trường hay triển khai vận hành Hệ thống KRX.","Bước sang năm 2025 , mặc_dù nền kinh_tế được dự_báo tiếp_tục diễn_biến phức_tạp , khó lường , thị_trường_Chứng_khoán ( TTCK ) Việt_Nam vẫn được kỳ_vọng sẽ tăng_trưởng mạnh_mẽ với những cơ_hội từ việc nâng hạng thị_trường hay triển_khai vận_hành Hệ_thống KRX .",bước sang năm 2025 mặc_dù nền kinh_tế được dự_báo tiếp_tục diễn_biến phức_tạp khó lường thị_trường_chứng_khoán ttck việt_nam vẫn được kỳ_vọng sẽ tăng_trưởng mạnh_mẽ với những cơ_hội từ việc nâng hạng thị_trường hay triển_khai vận_hành hệ_thống krx,36,247,Thuế,Quản trị,0.6572551727294922,0.23430758714675903,Tiếp thị và Ghi nhãn,Xã hội,0.4592328369617462,0.19811664521694183
